date,year,month,dep_code,dep_name,population,pet,pea,employed,unemployed,inactive
1993-01-01,1993,1,5,Antioquia,4695812.0,3030868.7,1913733.3,1692953.9,220779.4,1110668.6
1993-02-01,1993,2,5,Antioquia,4704129.4,3032491.1,1972989.9,1774299.0,198690.9,1051563.2
1993-03-01,1993,3,5,Antioquia,4710305.5,3033334.4,2000342.2,1805635.9,194706.3,1026569.3
1993-04-01,1993,4,5,Antioquia,4714800.0,3034063.0,1983365.6,1776179.2,207186.4,1049344.7
1993-05-01,1993,5,5,Antioquia,4717519.7,3034506.2,1970581.1,1762145.9,208435.1,1066260.9
1993-06-01,1993,6,5,Antioquia,4717897.6,3034693.0,1956145.6,1747210.2,208935.3,1083647.8
1993-07-01,1993,7,5,Antioquia,4714958.7,3034927.1,1927953.8,1708980.8,218973.0,1114271.5
1993-08-01,1993,8,5,Antioquia,4714708.1,3036389.6,1984344.9,1769941.0,214403.9,1054892.7
1993-09-01,1993,9,5,Antioquia,4716715.6,3037899.6,2014224.3,1806834.0,207390.3,1025667.5
1993-10-01,1993,10,5,Antioquia,4715812.3,3039452.3,2035146.3,1869665.5,165480.7,1003348.8
1993-11-01,1993,11,5,Antioquia,4713705.3,3040866.6,2074240.5,1895335.6,178904.9,962320.3
1993-12-01,1993,12,5,Antioquia,4711521.5,3042502.2,2074094.2,1878536.8,195557.4,963408.8
1994-01-01,1994,1,5,Antioquia,4709473.0,3044779.2,2048557.1,1780608.5,267948.6,993393.9
1994-02-01,1994,2,5,Antioquia,4711695.9,3047593.7,2061132.9,1826447.6,234685.3,981540.6
1994-03-01,1994,3,5,Antioquia,4716554.6,3051185.4,2071988.4,1849336.5,222651.9,973555.2
1994-04-01,1994,4,5,Antioquia,4724066.3,3055041.5,2093602.6,1863399.5,230203.1,956079.4
1994-05-01,1994,5,5,Antioquia,4733509.1,3059104.3,2087782.1,1862168.7,225613.4,968687.7
1994-06-01,1994,6,5,Antioquia,4743862.1,3063610.4,2036345.2,1816938.5,219406.6,1030772.1
1994-07-01,1994,7,5,Antioquia,4754189.4,3068132.7,2014429.4,1789058.1,225371.3,1061569.5
1994-08-01,1994,8,5,Antioquia,4762247.0,3073280.3,2002683.6,1788397.0,214286.6,1079655.1
1994-09-01,1994,9,5,Antioquia,4767938.2,3078472.7,2007937.3,1804573.4,203363.9,1078226.7
1994-10-01,1994,10,5,Antioquia,4772171.0,3083410.8,2029440.3,1870242.1,159198.2,1057809.2
1994-11-01,1994,11,5,Antioquia,4775784.0,3088233.4,2038288.8,1867545.0,170743.8,1052344.3
1994-12-01,1994,12,5,Antioquia,4780192.2,3092568.7,2089219.2,1901923.2,187296.0,1002552.2
1995-01-01,1995,1,5,Antioquia,4785135.6,3095949.9,2021630.4,1763499.8,258130.7,1082091.5
1995-02-01,1995,2,5,Antioquia,4787598.3,3098699.8,2041872.9,1815299.5,226573.5,1063109.8
1995-03-01,1995,3,5,Antioquia,4789927.6,3101335.1,2090808.3,1873078.7,217729.6,1013992.4
1995-04-01,1995,4,5,Antioquia,4792223.7,3103876.1,2105903.5,1878096.2,227807.3,1001649.5
1995-05-01,1995,5,5,Antioquia,4793410.2,3106525.3,2129788.5,1902018.4,227770.1,978705.0
1995-06-01,1995,6,5,Antioquia,4793920.8,3109615.0,2168893.4,1940031.7,228861.7,938798.2
1995-07-01,1995,7,5,Antioquia,4793312.7,3113527.7,2167257.6,1925914.4,241343.2,941740.0
1995-08-01,1995,8,5,Antioquia,4797548.2,3117270.2,2148804.0,1913561.6,235242.4,965158.1
1995-09-01,1995,9,5,Antioquia,4799034.1,3121362.1,2132958.3,1903216.5,229741.8,983698.1
1995-10-01,1995,10,5,Antioquia,4802438.8,3126244.2,2112132.9,1922142.6,189990.3,1006906.7
1995-11-01,1995,11,5,Antioquia,4811017.8,3131540.8,2084259.7,1874142.6,210117.0,1043449.7
1995-12-01,1995,12,5,Antioquia,4820678.0,3137242.2,2041295.0,1806762.2,234532.7,1097429.5
1996-01-01,1996,1,5,Antioquia,4831848.7,3143442.1,2079915.4,1760628.1,319287.2,1068716.0
1996-02-01,1996,2,5,Antioquia,4844393.5,3149859.7,2110212.3,1814825.1,295387.2,1043873.7
1996-03-01,1996,3,5,Antioquia,4851958.5,3156546.4,2070848.2,1781178.0,289670.2,1092536.8
1996-04-01,1996,4,5,Antioquia,4856951.1,3163534.4,2055322.8,1752153.4,303169.4,1115789.9
1996-05-01,1996,5,5,Antioquia,4861213.7,3170515.2,2055453.4,1750154.0,305299.4,1121456.4
1996-06-01,1996,6,5,Antioquia,4864327.4,3177099.0,2059404.7,1752954.4,306450.2,1122686.2
1996-07-01,1996,7,5,Antioquia,4871243.5,3183098.7,2130225.8,1809821.2,320404.6,1055783.2
